7.9471 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([-1., -1., -1.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x113b74790>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1024,  768]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
7.9471 	EXP 	window1: recordFrameIntervals = False
8.1133 	EXP 	window1: recordFrameIntervals = True
8.2966 	EXP 	window1: recordFrameIntervals = False
8.3039 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x1050a4750>: vertices = array([[-0.25,  0.25],
       [ 0.25,  0.25],
       [ 0.25, -0.25],
       [-0.25, -0.25]])
8.3051 	EXP 	Created whitesquare = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='whitesquare', opacity=0.9, ori=array(0.), pos=array([14.9, 11.2]), size=array([1., 1.]), units='cm', vertices=ndarray(...), win=Window(...))
8.4538 	EXP 	Created intro_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='intro_text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
8.5652 	EXP 	Created intro_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='intro_text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
8.5667 	EXP 	Created center = ShapeStim(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineWidth=1, name='center', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([0.5, 0.5]), units='cm', vertices=ndarray(...), win=Window(...), windingRule=None)
8.5680 	EXP 	Created left = ShapeStim(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineWidth=1, name='left', opacity=1.0, ori=array(0.), pos=array([-13.,   0.]), size=array([0.5, 0.5]), units='cm', vertices=ndarray(...), win=Window(...), windingRule=None)
8.5693 	EXP 	Created right = ShapeStim(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineWidth=1, name='right', opacity=1.0, ori=array(0.), pos=array([13.,  0.]), size=array([0.5, 0.5]), units='cm', vertices=ndarray(...), win=Window(...), windingRule=None)
8.5706 	EXP 	Created up = ShapeStim(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineWidth=1, name='up', opacity=1.0, ori=array(0.), pos=array([ 0., 10.]), size=array([0.5, 0.5]), units='cm', vertices=ndarray(...), win=Window(...), windingRule=None)
8.5719 	EXP 	Created down = ShapeStim(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=0.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineWidth=1, name='down', opacity=1.0, ori=array(0.), pos=array([  0., -10.]), size=array([0.5, 0.5]), units='cm', vertices=ndarray(...), win=Window(...), windingRule=None)
8.5746 	EXP 	Created blank = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='blank', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=' ', units=u'norm', win=Window(...), wrapWidth=1)
8.5986 	EXP 	Set  sound=./sound/close_speak.wav
8.5987 	EXP 	Set Sound  volume=1.000
8.5991 	EXP 	Set  sound=./sound/open_speak.wav
8.5991 	EXP 	Set Sound  volume=1.000
8.5994 	EXP 	Set  sound=./sound/blink_speak.wav
8.5994 	EXP 	Set Sound  volume=1.000
8.5998 	EXP 	Set  sound=./sound/left_speak.wav
8.5998 	EXP 	Set Sound  volume=1.000
8.6001 	EXP 	Set  sound=./sound/right_speak.wav
8.6002 	EXP 	Set Sound  volume=1.000
8.6005 	EXP 	Set  sound=./sound/up_speak.wav
8.6005 	EXP 	Set Sound  volume=1.000
8.6009 	EXP 	Set  sound=./sound/down_speak.wav
8.6009 	EXP 	Set Sound  volume=1.000
8.6175 	EXP 	Created esc = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='esc', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text="End of test\n\nPress 'esc'", units=u'norm', win=Window(...), wrapWidth=1)
8.6293 	EXP 	intro_text: autoDraw = True
8.6293 	EXP 	whitesquare: autoDraw = True
11.6660 	DATA 	Keypress: space
11.8351 	DATA 	intS | frame count: -1
11.8468 	EXP 	intro_text: autoDraw = False
11.8468 	EXP 	whitesquare: autoDraw = False
11.8468 	EXP 	intro_text: autoDraw = True
16.5311 	DATA 	Keypress: space
16.5386 	DATA 	intE | frame count: 282
16.5397 	EXP 	Set  sound=./sound/blink_speak.wav
16.5463 	DATA 	bliS | frame count: -1
16.5625 	EXP 	intro_text: autoDraw = False
16.5793 	EXP 	center: autoDraw = True
16.5793 	EXP 	left: autoDraw = True
16.5793 	EXP 	right: autoDraw = True
16.5793 	EXP 	up: autoDraw = True
16.5793 	EXP 	down: autoDraw = True
16.5962 	EXP 	center: autoDraw = True
16.5962 	EXP 	left: autoDraw = True
16.5962 	EXP 	right: autoDraw = True
16.5962 	EXP 	up: autoDraw = True
16.5962 	EXP 	down: autoDraw = True
16.6128 	EXP 	center: autoDraw = True
16.6128 	EXP 	left: autoDraw = True
16.6128 	EXP 	right: autoDraw = True
16.6128 	EXP 	up: autoDraw = True
16.6128 	EXP 	down: autoDraw = True
16.6296 	EXP 	center: autoDraw = True
16.6296 	EXP 	left: autoDraw = True
16.6296 	EXP 	right: autoDraw = True
16.6296 	EXP 	up: autoDraw = True
16.6296 	EXP 	down: autoDraw = True
16.6462 	EXP 	center: autoDraw = True
16.6462 	EXP 	left: autoDraw = True
16.6462 	EXP 	right: autoDraw = True
16.6462 	EXP 	up: autoDraw = True
16.6462 	EXP 	down: autoDraw = True
16.6629 	EXP 	center: autoDraw = True
16.6629 	EXP 	left: autoDraw = True
16.6629 	EXP 	right: autoDraw = True
16.6629 	EXP 	up: autoDraw = True
16.6629 	EXP 	down: autoDraw = True
16.6796 	EXP 	center: autoDraw = True
16.6796 	EXP 	left: autoDraw = True
16.6796 	EXP 	right: autoDraw = True
16.6796 	EXP 	up: autoDraw = True
16.6796 	EXP 	down: autoDraw = True
16.6960 	EXP 	center: autoDraw = True
16.6960 	EXP 	left: autoDraw = True
16.6960 	EXP 	right: autoDraw = True
16.6960 	EXP 	up: autoDraw = True
16.6960 	EXP 	down: autoDraw = True
16.7126 	EXP 	center: autoDraw = True
16.7126 	EXP 	left: autoDraw = True
16.7126 	EXP 	right: autoDraw = True
16.7126 	EXP 	up: autoDraw = True
