Recording 39
Time Mode: Relative Time
Code,Label,Type,Track,Onset,Duration
intS,,Stimulus Event,ECI TCP/IP 55513,_00:00:00.060,_00:00:00.001,
sync,Amp time,Stimulus Event,Calibration,_00:00:00.999,_00:00:00.001,
bliS,,Stimulus Event,ECI TCP/IP 55513,_00:00:04.815,_00:00:00.001,
intE,,Stimulus Event,ECI TCP/IP 55513,_00:00:04.816,_00:00:00.001,
sbli,,Stimulus Event,ECI TCP/IP 55513,_00:00:06.826,_00:00:00.001,
DIN3,,Stimulus Event,DIN 1,_00:00:07.190,_00:00:00.001,gidx,2,
sbli,,Stimulus Event,ECI TCP/IP 55513,_00:00:09.826,_00:00:00.001, , ,
DIN3,,Stimulus Event,DIN 1,_00:00:10.191,_00:00:00.001,gidx,3,
sbli,,Stimulus Event,ECI TCP/IP 55513,_00:00:12.826,_00:00:00.001, , ,
DIN3,,Stimulus Event,DIN 1,_00:00:13.193,_00:00:00.001,gidx,4,
sbli,,Stimulus Event,ECI TCP/IP 55513,_00:00:15.826,_00:00:00.001, , ,
DIN3,,Stimulus Event,DIN 1,_00:00:16.195,_00:00:00.001,gidx,5,
bliE,,Stimulus Event,ECI TCP/IP 55513,_00:00:19.021,_00:00:00.001, , ,
oc_S,,Stimulus Event,ECI TCP/IP 55513,_00:00:19.036,_00:00:00.001, , ,
sclo,,Stimulus Event,ECI TCP/IP 55513,_00:00:21.015,_00:00:00.001, , ,
DIN3,,Stimulus Event,DIN 1,_00:00:21.564,_00:00:00.001,gidx,6,
sope,,Stimulus Event,ECI TCP/IP 55513,_00:00:24.015,_00:00:00.001, , ,
DIN3,,Stimulus Event,DIN 1,_00:00:24.566,_00:00:00.001,gidx,7,
sclo,,Stimulus Event,ECI TCP/IP 55513,_00:00:27.015,_00:00:00.001, , ,
DIN3,,Stimulus Event,DIN 1,_00:00:27.568,_00:00:00.001,gidx,8,
sope,,Stimulus Event,ECI TCP/IP 55513,_00:00:30.015,_00:00:00.001, , ,
DIN3,,Stimulus Event,DIN 1,_00:00:30.569,_00:00:00.001,gidx,9,
oc_E,,Stimulus Event,ECI TCP/IP 55513,_00:00:33.181,_00:00:00.001, , ,
bliS,,Stimulus Event,ECI TCP/IP 55513,_00:00:33.196,_00:00:00.001, , ,
sbli,,Stimulus Event,ECI TCP/IP 55513,_00:00:35.191,_00:00:00.001, , ,
DIN3,,Stimulus Event,DIN 1,_00:00:35.572,_00:00:00.001,gidx,10,
sbli,,Stimulus Event,ECI TCP/IP 55513,_00:00:38.191,_00:00:00.001, , ,
DIN3,,Stimulus Event,DIN 1,_00:00:38.574,_00:00:00.001,gidx,11,
sbli,,Stimulus Event,ECI TCP/IP 55513,_00:00:41.190,_00:00:00.001, , ,
DIN3,,Stimulus Event,DIN 1,_00:00:41.575,_00:00:00.001,gidx,12,
sbli,,Stimulus Event,ECI TCP/IP 55513,_00:00:44.192,_00:00:00.001, , ,
DIN3,,Stimulus Event,DIN 1,_00:00:44.577,_00:00:00.001,gidx,13,
gazS,,Stimulus Event,ECI TCP/IP 55513,_00:00:47.371,_00:00:00.001, , ,
bliE,,Stimulus Event,ECI TCP/IP 55513,_00:00:47.371,_00:00:00.001, , ,
sdow,,Stimulus Event,ECI TCP/IP 55513,_00:00:48.946,_00:00:00.001, , ,
DIN3,,Stimulus Event,DIN 1,_00:00:49.330,_00:00:00.001,gidx,14,
srig,,Stimulus Event,ECI TCP/IP 55513,_00:00:51.465,_00:00:00.001, , ,
DIN3,,Stimulus Event,DIN 1,_00:00:51.832,_00:00:00.001,gidx,15,
srig,,Stimulus Event,ECI TCP/IP 55513,_00:00:53.956,_00:00:00.001, , ,
DIN3,,Stimulus Event,DIN 1,_00:00:54.333,_00:00:00.001,gidx,16,
sdow,,Stimulus Event,ECI TCP/IP 55513,_00:00:56.520,_00:00:00.001, , ,
DIN3,,Stimulus Event,DIN 1,_00:00:56.884,_00:00:00.001,gidx,17,
s_up,,Stimulus Event,ECI TCP/IP 55513,_00:00:59.025,_00:00:00.001, , ,
DIN3,,Stimulus Event,DIN 1,_00:00:59.386,_00:00:00.001,gidx,18,
